,countryOfPub,nlmID,pubmedID,pmcID,locID,language,grantNum,affiliation,fullAuthor,source,creationDate,journalTitle,abstract,title,meshT,googleScholar,backfill
165,United States,101729235,31596493,PMC6802419,10.1001/jamanetworkopen.2019.12869 [doi] e1912869,['eng'],"['UL1 TR001863/TR/NCATS NIH HHS/United States', 'T35 HL007649/HL/NHLBI NIH HHS/United States']","['Yale School of Medicine, New Haven, Connecticut.', 'Department of Medicine, University of California, San Francisco School of Medicine, San Francisco.', 'Section of Cardiology, San Francisco Veterans Affairs Health Care System, San Francisco, California.', 'Division of Health Care Policy & Research, Mayo Clinic, Rochester, Minnesota.', 'Epidemiology Analytics, Janssen Research and Development, Titusville, New Jersey.', 'Observational Health Data Sciences and Informatics (OHDSI), Department of Biomedical Informatics, Columbia University Medical Center, New York, New York.', 'Section of General Internal Medicine and the National Clinician Scholars Program, Yale School of Medicine, New Haven, Connecticut.', 'Department of Health Policy and Management, Yale School of Public Health, New Haven, Connecticut.', 'Center for Outcomes Research and Evaluation, Yale-New Haven Hospital, New Haven, Connecticut.']","['Bartlett, Victoria L', 'Dhruva, Sanket S', 'Shah, Nilay D', 'Ryan, Patrick', 'Ross, Joseph S']",JAMA Netw Open. 2019 Oct 2;2(10):e1912869. doi: 10.1001/jamanetworkopen.2019.12869.,2019/10/10 06:00,JAMA network open,"IMPORTANCE: Although randomized clinical trials are considered to be the criterion standard for generating clinical evidence, the use of real-world evidence to evaluate the efficacy and safety of medical interventions is gaining interest. Whether observational data can be used to address the same clinical questions being answered by traditional clinical trials is still unclear. OBJECTIVE: To identify the number of clinical trials published in high-impact journals in 2017 that could be feasibly replicated using observational data from insurance claims and/or electronic health records (EHRs). DESIGN, SETTING, AND PARTICIPANTS: In this cross-sectional analysis, PubMed was searched to identify all US-based clinical trials, regardless of randomization, published between January 1, 2017, and December 31, 2017, in the top 7 highest-impact general medical journals of 2017. Trials were excluded if they did not involve human participants, did not use end points that represented clinical outcomes among patients, were not characterized as clinical trials, and had no recruitment sites in the United States. MAIN OUTCOMES AND MEASURES: The primary outcomes were the number and percentage of trials for which the intervention, indication, trial inclusion and exclusion criteria, and primary end points could be ascertained from insurance claims and/or EHR data. RESULTS: Of the 220 US-based trials analyzed, 33 (15.0%) could be replicated using observational data because their intervention, indication, inclusion and exclusion criteria, and primary end points could be routinely ascertained from insurance claims and/or EHR data. Of the 220 trials, 86 (39.1%) had an intervention that could be ascertained from insurance claims and/or EHR data. Among the 86 trials, 62 (72.1%) had an indication that could be ascertained. Forty-five (72.6%) of 62 trials had at least 80% of inclusion and exclusion criteria data that could be ascertained. Of these 45 studies, 33 (73.3%) had at least 1 primary end point that could be ascertained. CONCLUSIONS AND RELEVANCE: This study found that only 15% of the US-based clinical trials published in high-impact journals in 2017 could be feasibly replicated through analysis of administrative claims or EHR data. This finding suggests the potential for real-world evidence to complement clinical trials, both by examining the concordance between randomized experiments and observational studies and by comparing the generalizability of the trial population with the real-world population of interest.",Feasibility of Using Real-World Data to Replicate Clinical Trial Evidence.,"['*Bibliometrics', 'Clinical Trials as Topic/*statistics & numerical data', 'Cross-Sectional Studies', 'Electronic Health Records', 'Feasibility Studies', 'Humans', 'Insurance, Health', 'Observational Studies as Topic/statistics & numerical data', '*Reproducibility of Results']",,
166,United States,101730643,31633087,PMC6800657,10.1093/jamiaopen/ooy059 [doi],['eng'],"['F30 HL140946/HL/NHLBI NIH HHS/United States', 'R35 GM131905/GM/NIGMS NIH HHS/United States', 'UL1 TR001872/TR/NCATS NIH HHS/United States']","['Department of Pediatrics Bakar Computational Health Sciences Institute, University of California San Francisco, San Francisco, California, USA.', 'Department of Pediatrics Bakar Computational Health Sciences Institute, University of California San Francisco, San Francisco, California, USA.', 'Departments of Biomedical Informatics, Systems Biology, and Medicine, Columbia University, New York, New York, USA.', 'Departments of Biomedical Informatics, Systems Biology, and Medicine, Columbia University, New York, New York, USA.', 'Department of Pediatrics Bakar Computational Health Sciences Institute, University of California San Francisco, San Francisco, California, USA.', 'Department of Pediatrics Bakar Computational Health Sciences Institute, University of California San Francisco, San Francisco, California, USA.', 'Academic Research Systems, Department of Enterprise Data Warehouse University of California San Francisco, San Francisco, California, USA.', 'Academic Research Systems, Department of Enterprise Data Warehouse University of California San Francisco, San Francisco, California, USA.', 'Academic Research Systems, Department of Enterprise Data Warehouse University of California San Francisco, San Francisco, California, USA.', 'Departments of Biomedical Informatics, Systems Biology, and Medicine, Columbia University, New York, New York, USA.', 'Department of Pediatrics Bakar Computational Health Sciences Institute, University of California San Francisco, San Francisco, California, USA.']","['Glicksberg, Benjamin S', 'Oskotsky, Boris', 'Giangreco, Nicholas', 'Thangaraj, Phyllis M', 'Rudrapatna, Vivek', 'Datta, Debajyoti', 'Frazier, Remi', 'Lee, Nelson', 'Larsen, Rick', 'Tatonetti, Nicholas P', 'Butte, Atul J']",JAMIA Open. 2019 Apr;2(1):10-14. doi: 10.1093/jamiaopen/ooy059. Epub 2019 Jan 4.,2019/10/22 06:00,JAMIA open,"OBJECTIVES: Electronic health record (EHR) data are increasingly used for biomedical discoveries. The nature of the data, however, requires expertise in both data science and EHR structure. The Observational Medical Out-comes Partnership (OMOP) common data model (CDM) standardizes the language and structure of EHR data to promote interoperability of EHR data for research. While the OMOP CDM is valuable and more attuned to research purposes, it still requires extensive domain knowledge to utilize effectively, potentially limiting more widespread adoption of EHR data for research and quality improvement. MATERIALS AND METHODS: We have created ROMOP: an R package for direct interfacing with EHR data in the OMOP CDM format. RESULTS: ROMOP streamlines typical EHR-related data processes. Its functions include exploration of data types, extraction and summarization of patient clinical and demographic data, and patient searches using any CDM vocabulary concept. CONCLUSION: ROMOP is freely available under the Massachusetts Institute of Technology (MIT) license and can be obtained from GitHub (http://github.com/BenGlicksberg/ROMOP). We detail instructions for setup and use in the Supplementary Materials. Additionally, we provide a public sandbox server containing synthesized clinical data for users to explore OMOP data and ROMOP (http://romop.ucsf.edu).",ROMOP: a light-weight R package for interfacing with OMOP-formatted electronic health record data.,,,
167,Germany,101537732,31645076,PMC6811349,10.1055/s-0039-1697598 [doi],['eng'],,"['VA Salt Lake City Health Care System, Salt Lake City, Utah, United States.', 'Department of Internal Medicine, Division of Epidemiology, University of Utah, Salt Lake City, Utah, United States.', 'Vanderbilt University Medical Center, Nashville, Tennessee, United States.', 'VA Salt Lake City Health Care System, Salt Lake City, Utah, United States.', 'Department of Internal Medicine, Division of Epidemiology, University of Utah, Salt Lake City, Utah, United States.', 'VA Salt Lake City Health Care System, Salt Lake City, Utah, United States.', 'Department of Internal Medicine, Division of Epidemiology, University of Utah, Salt Lake City, Utah, United States.', 'Vanderbilt University Medical Center, Nashville, Tennessee, United States.', 'Tennessee Valley Healthcare System, Nashville, Tennessee, United States.', 'Vanderbilt University Medical Center, Nashville, Tennessee, United States.', 'Vanderbilt University Medical Center, Nashville, Tennessee, United States.', 'Vanderbilt University Medical Center, Nashville, Tennessee, United States.', 'Vanderbilt University Medical Center, Nashville, Tennessee, United States.', 'Tennessee Valley Healthcare System, Nashville, Tennessee, United States.']","['Lynch, Kristine E', 'Deppen, Stephen A', 'DuVall, Scott L', 'Viernes, Benjamin', 'Cao, Aize', 'Park, Daniel', 'Hanchrow, Elizabeth', 'Hewa, Kushan', 'Greaves, Peter', 'Matheny, Michael E']",Appl Clin Inform. 2019 Oct;10(5):794-803. doi: 10.1055/s-0039-1697598. Epub 2019 Oct 23.,2019/10/24 06:00,Applied clinical informatics,"BACKGROUND: The development and adoption of health care common data models (CDMs) has addressed some of the logistical challenges of performing research on data generated from disparate health care systems by standardizing data representations and leveraging standardized terminology to express clinical information consistently. However, transforming a data system into a CDM is not a trivial task, and maintaining an operational, enterprise capable CDM that is incrementally updated within a data warehouse is challenging. OBJECTIVES: To develop a quality assurance (QA) process and code base to accompany our incremental transformation of the Department of Veterans Affairs Corporate Data Warehouse health care database into the Observational Medical Outcomes Partnership (OMOP) CDM to prevent incremental load errors. METHODS: We designed and implemented a multistage QA) approach centered on completeness, value conformance, and relational conformance data-quality elements. For each element we describe key incremental load challenges, our extract, transform, and load (ETL) solution of data to overcome those challenges, and potential impacts of incremental load failure. RESULTS: Completeness and value conformance data-quality elements are most affected by incremental changes to the CDW, while updates to source identifiers impact relational conformance. ETL failures surrounding these elements lead to incomplete and inaccurate capture of clinical concepts as well as data fragmentation across patients, providers, and locations. CONCLUSION: Development of robust QA processes supporting accurate transformation of OMOP and other CDMs from source data is still in evolution, and opportunities exist to extend the existing QA framework and tools used for incremental ETL QA processes.",Incrementally Transforming Electronic Medical Records into the Observational Medical Outcomes Partnership Common Data Model: A Multidimensional Quality Assurance Approach.,"['Delivery of Health Care', 'Electronic Health Records/*statistics & numerical data', '*Models, Statistical', '*Quality Assurance, Health Care']",,
168,United States,101285081,31721815,PMC6853310,10.1371/journal.pone.0225442 [doi] e0225442,['eng'],,,"['Gruendner, Julian', 'Schwachhofer, Thorsten', 'Sippl, Phillip', 'Wolf, Nicolas', 'Erpenbeck, Marcel', 'Gulden, Christian', 'Kapsner, Lorenz A', 'Zierk, Jakob', 'Mate, Sebastian', 'Sturzl, Michael', 'Croner, Roland', 'Prokosch, Hans-Ulrich', 'Toddenroth, Dennis']",PLoS One. 2019 Nov 13;14(11):e0225442. doi: 10.1371/journal.pone.0225442. eCollection 2019.,2019/11/14 06:00,PloS one,[This corrects the article DOI: 10.1371/journal.pone.0223010.].,"Correction: KETOS: Clinical decision support and machine learning as a service - A training and deployment platform based on Docker, OMOP-CDM, and FHIR Web Services.",,,
169,United States,9711271,31797639,PMC6905508,,['eng'],"['R01 AI130460/AI/NIAID NIH HHS/United States', 'R01 LM012607/LM/NLM NIH HHS/United States']","['Department of Biostatistics, Epidemiology & Informatics, University of Pennsylvania, Philadelphia, PA,19104, USA.']","['Tong, Jiayi', 'Duan, Rui', 'Li, Ruowang', 'Scheuemie, Martijn J', 'Moore, Jason H', 'Chen, Yong']",Pac Symp Biocomput. 2020;25:695-706.,2019/12/05 06:00,Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing,"Electronic Health Records (EHR) contain extensive patient data on various health outcomes and risk predictors, providing an efficient and wide-reaching source for health research. Integrated EHR data can provide a larger sample size of the population to improve estimation and prediction accuracy. To overcome the obstacle of sharing patient-level data, distributed algorithms were developed to conduct statistical analyses across multiple clinical sites through sharing only aggregated information. However, the heterogeneity of data across sites is often ignored by existing distributed algorithms, which leads to substantial bias when studying the association between the outcomes and exposures. In this study, we propose a privacy-preserving and communication-efficient distributed algorithm which accounts for the heterogeneity caused by a small number of the clinical sites. We evaluated our algorithm through a systematic simulation study motivated by real-world scenarios and applied our algorithm to multiple claims datasets from the Observational Health Data Sciences and Informatics (OHDSI) network. The results showed that the proposed method performed better than the existing distributed algorithm ODAL and a meta-analysis method.",Robust-ODAL: Learning from heterogeneous health systems without sharing patient-level data.,"['Algorithms', '*Computational Biology', 'Computer Simulation', '*Electronic Health Records', 'Humans', '*Information Dissemination', '*Machine Learning', 'Medical Informatics']",,
170,United States,101465592,31837755,PMC7874511,S1938-9736(19)30101-1 [pii] 10.1016/j.tcam.2019.100364 [doi],['eng'],['UL1 TR002544/TR/NCATS NIH HHS/United States'],"['Tufts Medical Center, Boston, MA, USA. Electronic address: Mkwong@tuftsmedicalcenter.org.', 'Sackler School of Graduate Biomedical Sciences, Tufts University, Boston, MA, USA.', 'Cummings School of Veterinary Medicine, Tufts University, Boston, MA, USA.', 'Cummings School of Veterinary Medicine, Tufts University, Boston, MA, USA; Animal Bioscience Inc., Boston, MA, USA.']","['Kwong, Manlik', 'Gardner, Heather L', 'Dieterle, Neil', 'Rentko, Virginia']",Top Companion Anim Med. 2019 Dec;37:100364. doi: 10.1016/j.tcam.2019.100364. Epub 2019 Sep 26.,2019/12/16 06:00,Topics in companion animal medicine,"The increasing use of electronic health records (EHRs) in veterinary medicine creates an opportunity to utilize the high volume of electronic patient data for mining and data-driven analytics with the goal of improving patient care and outcomes. A central focus of the Clinical and Translational Science Award One Health Alliance (COHA) is to integrate efforts across multiple disciplines to better understand shared diseases in animals and people. The ability to combine veterinary and human medical data provides a unique resource to study the interactions and relationships between animals, humans, and the environment. However, to effectively answer these questions, veterinary EHR data must first be prepared in the same way it is now commonly being done in human medicine to enable data mining and development of analytics to facilitate knowledge formation and solutions that advance our understanding of disease processes, with the ultimate goal of improving outcomes for veterinary patients and their owners. As a first step, COHA member institutions implemented a Common Data Model to standardize EHR data. Herein we present the approach executed within the COHA framework to prepare and optimize veterinary EHRs for data mining and knowledge formation based on the adoption of the Observational Health Data Sciences and Informatics' Observational Medical Outcomes Partnership Common Data Model.",Optimization of Electronic Medical Records for Data Mining Using a Common Data Model.,"['Animals', 'Data Accuracy', 'Data Mining/*standards', 'Electronic Health Records/*standards', 'Veterinary Medicine/*methods']",,
171,United States,100970413,31866433,PMC7390483,S1532-0464(19)30283-7 [pii] 10.1016/j.jbi.2019.103363 [doi],['eng'],"['R01 LM006910/LM/NLM NIH HHS/United States', 'R01 LM009886/LM/NLM NIH HHS/United States', 'U01 HG008680/HG/NHGRI NIH HHS/United States', 'UL1 TR001873/TR/NCATS NIH HHS/United States']","['Columbia University Medical Center, New York, NY, USA; Observational Health Data Sciences and Informatics (OHDSI), New York, NY, USA.', 'IQVIA, Cambridge, MA, USA; Observational Health Data Sciences and Informatics (OHDSI), New York, NY, USA.', 'Janssen Research & Development, Raritan, NJ, USA; Observational Health Data Sciences and Informatics (OHDSI), New York, NY, USA.', 'Columbia University Medical Center, New York, NY, USA; Observational Health Data Sciences and Informatics (OHDSI), New York, NY, USA.', 'Columbia University Medical Center, New York, NY, USA; Observational Health Data Sciences and Informatics (OHDSI), New York, NY, USA. Electronic address: hripicsak@columbia.edu.', 'Columbia University Medical Center, New York, NY, USA; Observational Health Data Sciences and Informatics (OHDSI), New York, NY, USA. Electronic address: chunhua@columbia.edu.']","['Ostropolets, Anna', 'Reich, Christian', 'Ryan, Patrick', 'Shang, Ning', 'Hripcsak, George', 'Weng, Chunhua']",J Biomed Inform. 2020 Feb;102:103363. doi: 10.1016/j.jbi.2019.103363. Epub 2019 Dec 19.,2019/12/24 06:00,Journal of biomedical informatics,"Algorithms for identifying patients of interest from observational data must address missing and inaccurate data and are desired to achieve comparable performance on both administrative claims and electronic health records data. However, administrative claims data do not contain the necessary information to develop accurate algorithms for disorders that require laboratory results, and this omission can result in insensitive diagnostic code-based algorithms. In this paper, we tested our assertion that the performance of a diagnosis code-based algorithm for chronic kidney disorder (CKD) can be improved by adding other codes indirectly related to CKD (e.g., codes for dialysis, kidney transplant, suspicious kidney disorders). Following the best practices from Observational Health Data Sciences and Informatics (OHDSI), we adapted an electronic health record-based gold standard algorithm for CKD and then created algorithms that can be executed on administrative claims data and account for related data quality issues. We externally validated our algorithms on four electronic health record datasets in the OHDSI network. Compared to the algorithm that uses CKD diagnostic codes only, positive predictive value of the algorithms that use additional codes was slightly increased (47.4% vs. 47.9-48.5% respectively). The algorithms adapted from the gold standard algorithm can be used to infer chronic kidney disorder based on administrative claims data. We succeeded in improving the generalizability and consistency of the CKD phenotypes by using data and vocabulary standardized across the OHDSI network, although performance variability across datasets remains. We showed that identifying and addressing coding and data heterogeneity can improve the performance of the algorithms.",Adapting electronic health records-derived phenotypes to claims data: Lessons learned in using limited clinical data for phenotyping.,"['Algorithms', '*Electronic Health Records', 'Humans', '*Medical Informatics', 'Phenotype', 'Predictive Value of Tests']",,
172,United States,101285081,31910437,PMC6946584,10.1371/journal.pone.0226718 [doi] e0226718,['eng'],"['T32 LM012409/LM/NLM NIH HHS/United States', 'UL1 TR002544/TR/NCATS NIH HHS/United States']","['Biomedical Engineering School, Sun Yat-Sen University, Guangzhou, China.', 'The Third Affiliated Hospital of Guangzhou Medical University, Guangzhou, China.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'Janssen Research and Development, Raritan, New Jersey, United States of America.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'IQVIA, Durham, North Carolina, United States of America.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'Janssen Research and Development, Raritan, New Jersey, United States of America.', 'Department of Biomedical Informatics, Columbia University, New York, New York, United States of America.', 'Department of Neurosurgery, General Hospital of Southern Theatre Command, Guangzhou, China.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'Janssen Research and Development, Raritan, New Jersey, United States of America.', 'Department of Medical Informatics, Erasmus University Medical Center, Rotterdam, The Netherlands.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'Department of Medical Informatics, Erasmus University Medical Center, Rotterdam, The Netherlands.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'Department of Biomedical Informatics, Columbia University, New York, New York, United States of America.', 'Department of Medicine, Weill Cornell Medical College, New York, New York, United States of America.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'Janssen Research and Development, Raritan, New Jersey, United States of America.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'IQVIA, Durham, North Carolina, United States of America.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'Tufts Medical Center, Institute for Clinical Research and Health Policy Studies, Boston, Massachusetts, United States of America.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'Department of Medical Informatics, Erasmus University Medical Center, Rotterdam, The Netherlands.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'IQVIA, Durham, North Carolina, United States of America.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'Department of Biomedical Informatics, Columbia University, New York, New York, United States of America.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'IQVIA, Durham, North Carolina, United States of America.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'Stanford Center for Biomedical Informatics Research, Stanford, California, United States of America.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'Stanford Center for Biomedical Informatics Research, Stanford, California, United States of America.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'Stanford Center for Biomedical Informatics Research, Stanford, California, United States of America.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'Center for Biomedical Informatics, Regenstrief Institute, Indianapolis, Indiana, United States of America.', 'Department of Epidemiology, Indiana University Richard M. Fairbanks School of Public Health, Indianapolis, Indiana, United States of America.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'Department of Biomedical informatics, Ajou University School of Medicine, Suwon, Korea.', 'Biomedical Engineering School, Sun Yat-Sen University, Guangzhou, China.', 'Observational Health Data Sciences and Informatics, New York, New York, United States of America.', 'IQVIA, Durham, North Carolina, United States of America.', 'Department of Biomedical Engineering, Zhongshan School of Medicine, Sun Yat-Sen University, Guangzhou, China.']","['Wang, Qiong', 'Reps, Jenna M', 'Kostka, Kristin Feeney', 'Ryan, Patrick B', 'Zou, Yuhui', 'Voss, Erica A', 'Rijnbeek, Peter R', 'Chen, RuiJun', 'Rao, Gowtham A', 'Morgan Stewart, Henry', 'Williams, Andrew E', 'Williams, Ross D', 'Van Zandt, Mui', 'Falconer, Thomas', 'Fernandez-Chas, Margarita', 'Vashisht, Rohit', 'Pfohl, Stephen R', 'Shah, Nigam H', 'Kasthurirathne, Suranga N', 'You, Seng Chan', 'Jiang, Qing', 'Reich, Christian', 'Zhou, Yi']",PLoS One. 2020 Jan 7;15(1):e0226718. doi: 10.1371/journal.pone.0226718. eCollection 2020.,2020/01/08 06:00,PloS one,"BACKGROUND AND PURPOSE: Hemorrhagic transformation (HT) after cerebral infarction is a complex and multifactorial phenomenon in the acute stage of ischemic stroke, and often results in a poor prognosis. Thus, identifying risk factors and making an early prediction of HT in acute cerebral infarction contributes not only to the selections of therapeutic regimen but also, more importantly, to the improvement of prognosis of acute cerebral infarction. The purpose of this study was to develop and validate a model to predict a patient's risk of HT within 30 days of initial ischemic stroke. METHODS: We utilized a retrospective multicenter observational cohort study design to develop a Lasso Logistic Regression prediction model with a large, US Electronic Health Record dataset which structured to the Observational Medical Outcomes Partnership (OMOP) Common Data Model (CDM). To examine clinical transportability, the model was externally validated across 10 additional real-world healthcare datasets include EHR records for patients from America, Europe and Asia. RESULTS: In the database the model was developed, the target population cohort contained 621,178 patients with ischemic stroke, of which 5,624 patients had HT within 30 days following initial ischemic stroke. 612 risk predictors, including the distance a patient travels in an ambulance to get to care for a HT, were identified. An area under the receiver operating characteristic curve (AUC) of 0.75 was achieved in the internal validation of the risk model. External validation was performed across 10 databases totaling 5,515,508 patients with ischemic stroke, of which 86,401 patients had HT within 30 days following initial ischemic stroke. The mean external AUC was 0.71 and ranged between 0.60-0.78. CONCLUSIONS: A HT prognostic predict model was developed with Lasso Logistic Regression based on routinely collected EMR data. This model can identify patients who have a higher risk of HT than the population average with an AUC of 0.78. It shows the OMOP CDM is an appropriate data standard for EMR secondary use in clinical multicenter research for prognostic prediction model development and validation. In the future, combining this model with clinical information systems will assist clinicians to make the right therapy decision for patients with acute ischemic stroke.",Development and validation of a prognostic model predicting symptomatic hemorrhagic transformation in acute ischemic stroke at scale in the OHDSI network.,"['Brain Ischemia/*complications', 'Cerebral Hemorrhage/*diagnosis/etiology', 'Female', 'Follow-Up Studies', 'Humans', 'Male', 'Middle Aged', '*Models, Statistical', 'Prognosis', 'ROC Curve', 'Retrospective Studies', 'Risk Assessment/*methods', 'Risk Factors', 'Stroke/*complications']",,
173,Germany,101537732,31914471,PMC6949163,10.1055/s-0039-3402754 [doi],['eng'],,"['Univ. Lille, CHU Lille, ULR 2694-METRICS: Evaluation des Technologies de Sante et des Pratiques Medicales, F-59000 Lille, France.', 'Univ. Lille, CHU Lille, ULR 2694-METRICS: Evaluation des Technologies de Sante et des Pratiques Medicales, F-59000 Lille, France.', ""Bureau Etat de Sante de la Population, Ministere des Affaires Sociales et de la Sante, Direction de la Recherche, des Etudes et des Statistiques - Observation de la Sante et de l'Assurance Maladie, Paris, France."", 'Universite Paris Descartes, Paris, France.', ""Web INnovation Donnees-Direction des Systemes d'Information, Assistance Publique - Hopitaux de Paris, Paris, France."", 'Service Etudes et Statistiques, ARS Hauts-de-France, Lille, France.', 'Service Etudes et Statistiques, ARS Hauts-de-France, Lille, France.', 'Univ. Lille, CHU Lille, ULR 2694-METRICS: Evaluation des Technologies de Sante et des Pratiques Medicales, F-59000 Lille, France.', 'Univ. Lille, CHU Lille, ULR 2694-METRICS: Evaluation des Technologies de Sante et des Pratiques Medicales, F-59000 Lille, France.', 'Univ. Lille, CHU Lille, ULR 2694-METRICS: Evaluation des Technologies de Sante et des Pratiques Medicales, F-59000 Lille, France.']","['Lamer, Antoine', 'Depas, Nicolas', 'Doutreligne, Matthieu', 'Parrot, Adrien', 'Verloop, David', 'Defebvre, Marguerite-Marie', 'Ficheur, Gregoire', 'Chazard, Emmanuel', 'Beuscart, Jean-Baptiste']",Appl Clin Inform. 2020 Jan;11(1):13-22. doi: 10.1055/s-0039-3402754. Epub 2020 Jan 8.,2020/01/09 06:00,Applied clinical informatics,"BACKGROUND: Common data models (CDMs) enable data to be standardized, and facilitate data exchange, sharing, and storage, particularly when the data have been collected via distinct, heterogeneous systems. Moreover, CDMs provide tools for data quality assessment, integration into models, visualization, and analysis. The observational medical outcome partnership (OMOP) provides a CDM for organizing and standardizing databases. Common data models not only facilitate data integration but also (and especially for the OMOP model) extends the range of available statistical analyses. OBJECTIVE: This study aimed to evaluate the feasibility of implementing French national electronic health records in the OMOP CDM. METHODS: The OMOP's specifications were used to audit the source data, specify the transformation into the OMOP CDM, implement an extract-transform-load process to feed data from the French health care system into the OMOP CDM, and evaluate the final database. RESULTS: Seventeen vocabularies corresponding to the French context were added to the OMOP CDM's concepts. Three French terminologies were automatically mapped to standardized vocabularies. We loaded nine tables from the OMOP CDM's ""standardized clinical data"" section, and three tables from the ""standardized health system data"" section. Outpatient and inpatient data from 38,730 individuals were integrated. The median (interquartile range) number of outpatient and inpatient stays per patient was 160 (19-364). CONCLUSION: Our results demonstrated that data from the French national health care system can be integrated into the OMOP CDM. One of the main challenges was the use of international OMOP concepts to annotate data recorded in a French context. The use of local terminologies was an obstacle to conceptual mapping; with the exception of an adaptation of the International Classification of Diseases 10th Revision, the French health care system does not use international terminologies. It would be interesting to extend our present findings to the 65 million people registered in the French health care system.",Transforming French Electronic Health Records into the Observational Medical Outcome Partnership's Common Data Model: A Feasibility Study.,"['Clinical Audit', '*Databases, Factual', '*Electronic Health Records', 'Feasibility Studies', 'France', 'Hospitals', 'Humans', '*Models, Theoretical', '*Partnership Practice', 'Patient Admission']",,
174,United States,0401101,31923062,PMC7012337,10.1097/AOG.0000000000003656 [doi],['eng'],,"['Departments of Biomedical Informatics and Obstetrics and Gynecology, Columbia University Medical Center, Observational Health Data Sciences and Informatics, and Medical Informatics Services, New York-Presbyterian Hospital, New York, New York.']","['Spotnitz, Matthew E', 'Natarajan, Karthik', 'Ryan, Patrick B', 'Westhoff, Carolyn L']",Obstet Gynecol. 2020 Feb;135(2):319-327. doi: 10.1097/AOG.0000000000003656.,2020/01/11 06:00,Obstetrics and gynecology,"OBJECTIVE: To evaluate the relative risk of cervical neoplasms among copper intrauterine device (Cu IUD) and levonorgestrel-releasing intrauterine system (LNG-IUS) users. METHODS: We performed a retrospective cohort analysis of 10,674 patients who received IUDs at Columbia University Medical Center. Our data were transformed to a common data model and are part of the Observational Health Data Sciences and Informatics network. The cohort patients and outcomes were identified by a combination of procedure codes, condition codes, and medication exposures in billing and claims data. We adjusted for confounding with propensity score stratification and propensity score 1:1 matching. RESULTS: Before propensity score adjustment, the Cu IUD cohort included 8,274 patients and the LNG-IUS cohort included 2,400 patients. The median age for both cohorts was 29 years at IUD placement. More than 95% of the LNG-IUS cohort used a device with 52 mg LNG. Before propensity score adjustment, we identified 114 cervical neoplasm outcomes. Seventy-seven (0.9%) cervical neoplasms were in the Cu IUD cohort and 37 (1.5%) were in the LNG-IUS cohort. The propensity score matching analysis identified 7,114 Cu IUD and 2,174 LNG-IUS users, with covariate balance achieved over 16,827 covariates. The diagnosis of high-grade cervical neoplasia was 0.7% in the Cu IUD cohort and 1.8% in the LNG-IUS cohort (2.4 [95% CI 1.5-4.0] cases/1,000 person-years and 5.2 [95% CI 3.7-7.1] cases/1,000 person-years, respectively). The relative risk of high-grade cervical neoplasms among Cu IUD users was 0.38 (95% CI 0.16-0.78, P<.02) compared with LNG-IUS users. By inspection, the Kaplan-Meier curves for each cohort diverged over time. CONCLUSION: Copper IUD users have a lower risk of high-grade cervical neoplasms compared with LNG-IUS users. The relative risk of cervical neoplasms of LNG-IUS users compared with the general population is unknown.",Relative Risk of Cervical Neoplasms Among Copper and Levonorgestrel-Releasing Intrauterine System Users.,"['Adolescent', 'Adult', 'Child', 'Contraceptive Agents, Female/administration & dosage', 'Databases, Factual', 'Female', 'Humans', 'Intrauterine Devices, Copper/adverse effects/*statistics & numerical data', 'Intrauterine Devices, Medicated/adverse effects/*statistics & numerical data', 'Kaplan-Meier Estimate', 'Levonorgestrel/*administration & dosage', 'Middle Aged', 'New York/epidemiology', 'Propensity Score', 'Retrospective Studies', 'Risk Assessment', 'Uterine Cervical Neoplasms/*epidemiology', 'Young Adult']",,
