,pubmedID,title,fullAuthorEdited
10,34042723,Potential Role of Clinical Trial Eligibility Criteria in Electronic Phenotyping.,'Zhehuan Chen' 'Hao Liu' 'Alex Butler' 'Anna Ostropolets' 'Chunhua Weng'
11,34042637,Pharmacovigilance and Clinical Environment: Utilizing OMOP-CDM and OHDSI Software Stack to Integrate EHR Data.,'Vlasios K Dimitriadis' 'George I Gavriilidis' 'Pantelis Natsiavas'
12,33975825,Use of repurposed and adjuvant drugs in hospital patients with covid-19: multinational network cohort study.,'Albert Prats-Uribe' 'Anthony G Sena' 'Lana Yin Hui Lai' 'Waheed-Ul-Rahman Ahmed' 'Heba Alghoul' 'Osaid Alser' 'Thamir M Alshammari' 'Carlos Areia' 'William Carter' 'Paula Casajust' 'Dalia Dawoud' 'Asieh Golozar' 'Jitendra Jonnagaddala' 'Paras P Mehta' 'Mengchun Gong' 'Daniel R Morales' 'Fredrik Nyberg' 'Jose D Posada' 'Martina Recalde' 'Elena Roel' 'Karishma Shah' 'Nigam H Shah' 'Lisa M Schilling' 'Vignesh Subbian' 'David Vizcaya' 'Lin Zhang' 'Ying Zhang' 'Hong Zhu' 'Li Liu' 'Jaehyeong Cho' 'Kristine E Lynch' 'Michael E Matheny' 'Seng Chan You' 'Peter R Rijnbeek' 'George Hripcsak' 'Jennifer Ce Lane' 'Edward Burn' 'Christian Reich' 'Marc A Suchard' 'Talita Duarte-Salles' 'Kristin Kostka' 'Patrick B Ryan' 'Daniel Prieto-Alhambra'
13,33936520,Normalizing Clinical Document Titles to LOINC Document Ontology: an Initial Study.,'Xu Zuo' 'Jianfu Li' 'Bo Zhao' 'Yujia Zhou' 'Xiao Dong' 'Jon Duke' 'Karthik Natarajan' 'George Hripcsak' 'Nigam Shah' 'Juan M Banda' 'Ruth Reeves' 'Timothy Miller' 'Hua Xu'
14,33936474,Characterizing database granularity using SNOMED-CT hierarchy.,'Anna Ostropolets' 'Christian Reich' 'Patrick Ryan' 'Chunhua Weng' 'Anthony Molinaro' 'Frank DeFalco' 'Jitendra Jonnagaddala' 'Siaw-Teng Liaw' 'Hokyun Jeon' 'Rae Woong Park' 'Matthew E Spotnitz' 'Karthik Natarajan' 'George Argyriou' 'Kristin Kostka' 'Robert Miller' 'Andrew Williams' 'Evan Minty' 'Jose Posada' 'George Hripcsak'
15,33907758,NSAID use and clinical outcomes in COVID-19 patients: A 38-center retrospective cohort study.,'Justin T Reese' 'Ben Coleman' 'Lauren Chan' 'Hannah Blau' 'Tiffany J Callahan' 'Luca Cappelletti' 'Tommaso Fontana' 'Katie Rebecca Bradwell' 'Nomi L Harris' 'Elena Casiraghi' 'Giorgio Valentini' 'Guy Karlebach' 'Rachel Deer' 'Julie A McMurry' 'Melissa A Haendel' 'Christopher G Chute' 'Emily Pfaff' 'Richard Moffitt' 'Heidi Spratt' 'Jasvinder Singh' 'Christopher J Mungall' 'Andrew E Williams' 'Peter N Robinson'
16,33882595,Drawing Reproducible Conclusions from Observational Clinical Data with OHDSI.,'George Hripcsak' 'Martijn J Schuemie' 'David Madigan' 'Patrick B Ryan' 'Marc A Suchard'
17,33735862,Dermatologic Research Potential of the Observational Health Data Sciences and Informatics (OHDSI) Network.,'Torunn Elise Sivesind' 'Taylor Runion' 'Megan Branda' 'Lisa M Schilling' 'Robert P Dellavalle'
18,33725121,COVID-19 in patients with autoimmune diseases: characteristics and outcomes in a multinational network of cohorts across three countries.,'Eng Hooi Tan' 'Anthony G Sena' 'Albert Prats-Uribe' 'Seng Chan You' 'Waheed-Ul-Rahman Ahmed' 'Kristin Kostka' 'Christian Reich' 'Scott L Duvall' 'Kristine E Lynch' 'Michael E Matheny' 'Talita Duarte-Salles' 'Sergio Fernandez Bertolin' 'George Hripcsak' 'Karthik Natarajan' 'Thomas Falconer' 'Matthew Spotnitz' 'Anna Ostropolets' 'Clair Blacketer' 'Thamir M Alshammari' 'Heba Alghoul' 'Osaid Alser' 'Jennifer C E Lane' 'Dalia M Dawoud' 'Karishma Shah' 'Yue Yang' 'Lin Zhang' 'Carlos Areia' 'Asieh Golozar' 'Martina Recalde' 'Paula Casajust' 'Jitendra Jonnagaddala' 'Vignesh Subbian' 'David Vizcaya' 'Lana Y H Lai' 'Fredrik Nyberg' 'Daniel R Morales' 'Jose D Posada' 'Nigam H Shah' 'Mengchun Gong' 'Arani Vivekanantham' 'Aaron Abend' 'Evan P Minty' 'Marc Suchard' 'Peter Rijnbeek' 'Patrick B Ryan' 'Daniel Prieto-Alhambra'
19,33688639,Unraveling COVID-19: a large-scale characterization of 4.5 million COVID-19 cases using CHARYBDIS.,'Daniel Prieto-Alhambra' 'Kristin Kostka' 'Talita Duarte-Salles' 'Albert Prats-Uribe' 'Anthony Sena' 'Andrea Pistillo' 'Sara Khalid' 'Lana Lai' 'Asieh Golozar' 'Thamir M Alshammari' 'Dalia Dawoud' 'Fredrik Nyberg' 'Adam Wilcox' 'Alan Andryc' 'Andrew Williams' 'Anna Ostropolets' 'Carlos Areia' 'Chi Young Jung' 'Christopher Harle' 'Christian Reich' 'Clair Blacketer' 'Daniel Morales' 'David A Dorr' 'Edward Burn' 'Elena Roel' 'Eng Hooi Tan' 'Evan Minty' 'Frank DeFalco' 'Gabriel de Maeztu' 'Gigi Lipori' 'Heba Alghoul' 'Hong Zhu' 'Jason Thomas' 'Jiang Bian' 'Jimyung Park' 'Jordi Martinez Roldan' 'Jose Posada' 'Juan M Banda' 'Juan P Horcajada' 'Julianna Kohler' 'Karishma Shah' 'Karthik Natarajan' 'Kristine Lynch' 'Li Liu' 'Lisa Schilling' 'Martina Recalde' 'Matthew Spotnitz' 'Mengchun Gong' 'Michael Matheny' 'Neus Valveny' 'Nicole Weiskopf' 'Nigam Shah' 'Osaid Alser' 'Paula Casajust' 'Rae Woong Park' 'Robert Schuff' 'Sarah Seager' 'Scott DuVall' 'Seng Chan You' 'Seokyoung Song' 'Sergio Fernandez-Bertolin' 'Stephen Fortin' 'Tanja Magoc' 'Thomas Falconer' 'Vignesh Subbian' 'Vojtech Huser' 'Waheed-Ul-Rahman Ahmed' 'William Carter' 'Yin Guan' 'Yankuic Galvan' 'Xing He' 'Peter Rijnbeek' 'George Hripcsak' 'Patrick Ryan' 'Marc Suchard'
20,33661754,Implementation of the COVID-19 Vulnerability Index Across an International Network of Health Care Data Sets: Collaborative External Validation Study.,'Jenna M Reps' 'Chungsoo Kim' 'Ross D Williams' 'Aniek F Markus' 'Cynthia Yang' 'Talita Duarte-Salles' 'Thomas Falconer' 'Jitendra Jonnagaddala' 'Andrew Williams' 'Sergio Fernandez-Bertolin' 'Scott L DuVall' 'Kristin Kostka' 'Gowtham Rao' 'Azza Shoaibi' 'Anna Ostropolets' 'Matthew E Spotnitz' 'Lin Zhang' 'Paula Casajust' 'Ewout W Steyerberg' 'Fredrik Nyberg' 'Benjamin Skov Kaas-Hansen' 'Young Hwa Choi' 'Daniel Morales' 'Siaw-Teng Liaw' 'Maria Tereza Fernandes Abrahao' 'Carlos Areia' 'Michael E Matheny' 'Kristine E Lynch' 'Maria Aragon' 'Rae Woong Park' 'George Hripcsak' 'Christian G Reich' 'Marc A Suchard' 'Seng Chan You' 'Patrick B Ryan' 'Daniel Prieto-Alhambra' 'Peter R Rijnbeek'
21,33367863,"Risk of depression, suicide and psychosis with hydroxychloroquine treatment for rheumatoid arthritis: a multinational network cohort study.",'Jennifer C E Lane' 'James Weaver' 'Kristin Kostka' 'Talita Duarte-Salles' 'Maria Tereza F Abrahao' 'Heba Alghoul' 'Osaid Alser' 'Thamir M Alshammari' 'Carlos Areia' 'Patricia Biedermann' 'Juan M Banda' 'Edward Burn' 'Paula Casajust' 'Kristina Fister' 'Jill Hardin' 'Laura Hester' 'George Hripcsak' 'Benjamin Skov Kaas-Hansen' 'Sajan Khosla' 'Spyros Kolovos' 'Kristine E Lynch' 'Rupa Makadia' 'Paras P Mehta' 'Daniel R Morales' 'Henry Morgan-Stewart' 'Mees Mosseveld' 'Danielle Newby' 'Fredrik Nyberg' 'Anna Ostropolets' 'Rae Woong Park' 'Albert Prats-Uribe' 'Gowtham A Rao' 'Christian Reich' 'Peter Rijnbeek' 'Anthony G Sena' 'Azza Shoaibi' 'Matthew Spotnitz' 'Vignesh Subbian' 'Marc A Suchard' 'David Vizcaya' 'Haini Wen' 'Marcel de Wilde' 'Junqing Xie' 'Seng Chan You' 'Lin Zhang' 'Simon Lovestone' 'Patrick Ryan' 'Daniel Prieto-Alhambra'
22,33367288,How Confident Are We about Observational Findings in Healthcare: A Benchmark Study.,'Martijn J Schuemie' 'M Soledad Cepeda' 'Marc A Suchard' 'Jianxiao Yang' 'Yuxi Tian' 'Alejandro Schuler' 'Patrick B Ryan' 'David Madigan' 'George Hripcsak'
23,33099844,Empirical assessment of case-based methods for identification of drugs associated with acute liver injury in the French National Healthcare System database (SNDS).,'Nicolas H Thurin' 'Regis Lassalle' 'Martijn Schuemie' 'Marine Penichon' 'Joshua J Gagne' 'Jeremy A Rassen' 'Jacques Benichou' 'Alain Weill' 'Patrick Blin' 'Nicholas Moore' 'Cecile Droz-Perroteau'
24,33083538,Toward cross-platform electronic health record-driven phenotyping using Clinical Quality Language.,'Pascal S Brandt' 'Richard C Kiefer' 'Jennifer A Pacheco' 'Prakash Adekkanattu' 'Evan T Sholle' 'Faraz S Ahmad' 'Jie Xu' 'Zhenxing Xu' 'Jessica S Ancker' 'Fei Wang' 'Yuan Luo' 'Guoqian Jiang' 'Jyotishman Pathak' 'Luke V Rasmussen'
25,32908948,COVID-19 SignSym: A fast adaptation of general clinical NLP tools to identify and normalize COVID-19 signs and symptoms to OMOP common data model.,'Jingqi Wang' 'Huy Anh' 'Frank Manion' 'Masoud Rouhizadeh' 'Yaoyun Zhang'
26,32864627,"Risk of hydroxychloroquine alone and in combination with azithromycin in the treatment of rheumatoid arthritis: a multinational, retrospective study.",'Jennifer C E Lane' 'James Weaver' 'Kristin Kostka' 'Talita Duarte-Salles' 'Maria Tereza F Abrahao' 'Heba Alghoul' 'Osaid Alser' 'Thamir M Alshammari' 'Patricia Biedermann' 'Juan M Banda' 'Edward Burn' 'Paula Casajust' 'Mitchell M Conover' 'Aedin C Culhane' 'Alexander Davydov' 'Scott L DuVall' 'Dmitry Dymshyts' 'Sergio Fernandez-Bertolin' 'Kristina Fister' 'Jill Hardin' 'Laura Hester' 'George Hripcsak' 'Benjamin Skov Kaas-Hansen' 'Seamus Kent' 'Sajan Khosla' 'Spyros Kolovos' 'Christophe G Lambert' 'Johan van der Lei' 'Kristine E Lynch' 'Rupa Makadia' 'Andrea V Margulis' 'Michael E Matheny' 'Paras Mehta' 'Daniel R Morales' 'Henry Morgan-Stewart' 'Mees Mosseveld' 'Danielle Newby' 'Fredrik Nyberg' 'Anna Ostropolets' 'Rae Woong Park' 'Albert Prats-Uribe' 'Gowtham A Rao' 'Christian Reich' 'Jenna Reps' 'Peter Rijnbeek' 'Selva Muthu Kumaran Sathappan' 'Martijn Schuemie' 'Sarah Seager' 'Anthony G Sena' 'Azza Shoaibi' 'Matthew Spotnitz' 'Marc A Suchard' 'Carmen O Torre' 'David Vizcaya' 'Haini Wen' 'Marcel de Wilde' 'Junqing Xie' 'Seng Chan You' 'Lin Zhang' 'Oleg Zhuk' 'Patrick Ryan' 'Daniel Prieto-Alhambra'
27,32570366,Design for a Modular Clinical Trial Recruitment Support System Based on FHIR and OMOP.,'Ines Reinecke' 'Christian Gulden' 'Michele Kummel' 'Azadeh Nassirian' 'Romina Blasini' 'Martin Sedlmayr'
28,32531725,Establishment and evaluation of a multicenter collaborative prediction model construction framework supporting model generalization and continuous improvement: A pilot study.,'Yu Tian' 'Weiguo Chen' 'Tianshu Zhou' 'Jun Li' 'Kefeng Ding' 'Jingsong Li'
29,32530430,Detecting and Filtering Immune-Related Adverse Events Signal Based on Text Mining and Observational Health Data Sciences and Informatics Common Data Model: Framework Development Study.,'Yue Yu' 'Kathryn Ruddy' 'Aaron Mansfield' 'Nansu Zong' 'Andrew Wen' 'Shintaro Tsuji' 'Ming Huang' 'Hongfang Liu' 'Nilay Shah' 'Guoqian Jiang'
30,32524701,Empirical assessment of case-based methods for identification of drugs associated with upper gastrointestinal bleeding in the French National Healthcare System database (SNDS).,'Nicolas H Thurin' 'Regis Lassalle' 'Martijn Schuemie' 'Marine Penichon' 'Joshua J Gagne' 'Jeremy A Rassen' 'Jacques Benichou' 'Alain Weill' 'Patrick Blin' 'Nicholas Moore' 'Cecile Droz-Perroteau'
31,32511443,"Deep phenotyping of 34,128 patients hospitalised with COVID-19 and a comparison with 81,596 influenza patients in America, Europe and Asia: an international network study.",'Edward Burn' 'Seng Chan You' 'Anthony Sena' 'Kristin Kostka' 'Hamed Abedtash' 'Maria Tereza F Abrahao' 'Amanda Alberga' 'Heba Alghoul' 'Osaid Alser' 'Thamir M Alshammari' 'Maria Aragon' 'Carlos Areia' 'Juan M Banda' 'Jaehyeong Cho' 'Aedin C Culhane' 'Alexander Davydov' 'Frank J DeFalco' 'Talita Duarte-Salles' 'Scott L DuVall' 'Thomas Falconer' 'Sergio Fernandez-Bertolin' 'Weihua Gao' 'Asieh Golozar' 'Jill Hardin' 'George Hripcsak' 'Vojtech Huser' 'Hokyun Jeon' 'Yonghua Jing' 'Chi Young Jung' 'Benjamin Skov Kaas-Hansen' 'Denys Kaduk' 'Seamus Kent' 'Yeesuk Kim' 'Spyros Kolovos' 'Jennifer Lane' 'Hyejin Lee' 'Kristine E Lynch' 'Rupa Makadia' 'Michael E Matheny' 'Paras Mehta' 'Daniel R Morales' 'Karthik Natarajan' 'Fredrik Nyberg' 'Anna Ostropolets' 'Rae Woong Park' 'Jimyung Park' 'Jose D Posada' 'Albert Prats-Uribe' 'Gowtham A Rao' 'Christian Reich' 'Yeunsook Rho' 'Peter Rijnbeek' 'Lisa M Schilling' 'Martijn Schuemie' 'Nigam H Shah' 'Azza Shoaibi' 'Seokyoung Song' 'Matthew Spotnitz' 'Marc A Suchard' 'Joel Swerdel' 'David Vizcaya' 'Salvatore Volpe' 'Haini Wen' 'Andrew E Williams' 'Belay B Yimer' 'Lin Zhang' 'Oleg Zhuk' 'Daniel Prieto-Alhambra' 'Patrick Ryan'
32,32477694,Integrating Electronic Health Record Data into the ADEpedia-on-OHDSI Platform for Improved Signal Detection: A Case Study of Immune-related Adverse Events.,'Yue Yu' 'Kathryn J Ruddy' 'Andrew Wen' 'Nansu Zong' 'Shintaro Tsuji' 'Jun Chen' 'Nilay D Shah' 'Guoqian Jiang'
33,32458499,Real-world data in Saudi Arabia: Current situation and challenges for regulatory decision-making.,'Fatemah A Alnofal' 'Adel A Alrwisan' 'Thamir M Alshammari'
34,32399991,"Nintedanib and ischemic colitis: Signal assessment with the integrated use of two types of real-world evidence, spontaneous reports of suspected adverse drug reactions, and observational data from large health-care databases.",'Rebecca E Chandler'
35,32375693,Feasibility and evaluation of a large-scale external validation approach for patient-level prediction in an international data network: validation of models predicting stroke in female patients newly diagnosed with atrial fibrillation.,'Jenna M Reps' 'Ross D Williams' 'Seng Chan You' 'Thomas Falconer' 'Evan Minty' 'Alison Callahan' 'Patrick B Ryan' 'Rae Woong Park' 'Hong-Seok Lim' 'Peter Rijnbeek'
36,32374408,Development and validation of phenotype classifiers across multiple sites in the observational health data sciences and informatics network.,'Mehr Kashyap' 'Martin Seneviratne' 'Juan M Banda' 'Thomas Falconer' 'Borim Ryu' 'Sooyoung Yoo' 'George Hripcsak' 'Nigam H Shah'
37,32308871,Considerations for Improving the Portability of Electronic Health Record-Based Phenotype Algorithms.,'Luke V Rasmussen' 'Pascal S Brandt' 'Guoqian Jiang' 'Richard C Kiefer' 'Jennifer A Pacheco' 'Prakash Adekkanattu' 'Jessica S Ancker' 'Fei Wang' 'Zhenxing Xu' 'Jyotishman Pathak' 'Yuan Luo'
38,32293578,Effect of Age on the Initiation of Biologic Agent Therapy in Patients With Inflammatory Bowel Disease: Korean Common Data Model Cohort Study.,'Youn I Choi' 'Yoon Jae Kim' 'Jun-Won Chung' 'Kyoung Oh Kim' 'Hakki Kim' 'Rae Woong Park' 'Dong Kyun Park'
39,32229499,Extending an open-source tool to measure data quality: case report on Observational Health Data Science and Informatics (OHDSI).,'Brian E Dixon' 'Chen Wen' 'Tony French' 'Jennifer L Williams' 'Jon D Duke' 'Shaun J Grannis'
40,32133717,Empirical assessment of case-based methods for drug safety alert identification in the French National Healthcare System database (SNDS): Methodology of the ALCAPONE project.,'Nicolas H Thurin' 'Regis Lassalle' 'Martijn Schuemie' 'Marine Penichon' 'Joshua J Gagne' 'Jeremy A Rassen' 'Jacques Benichou' 'Alain Weill' 'Patrick Blin' 'Nicholas Moore' 'Cecile Droz-Perroteau'
41,31939079,Developing Predictive Models to Determine Patients in End-of-Life Care in Administrative Datasets.,'Joel N Swerdel' 'Jenna M Reps' 'Daniel Fife' 'Patrick B Ryan'
42,31910437,Development and validation of a prognostic model predicting symptomatic hemorrhagic transformation in acute ischemic stroke at scale in the OHDSI network.,'Qiong Wang' 'Jenna M Reps' 'Kristin Feeney Kostka' 'Patrick B Ryan' 'Yuhui Zou' 'Erica A Voss' 'Peter R Rijnbeek' 'RuiJun Chen' 'Gowtham A Rao' 'Henry Morgan Stewart' 'Andrew E Williams' 'Ross D Williams' 'Mui Van Zandt' 'Thomas Falconer' 'Margarita Fernandez-Chas' 'Rohit Vashisht' 'Stephen R Pfohl' 'Nigam H Shah' 'Suranga N Kasthurirathne' 'Seng Chan You' 'Qing Jiang' 'Christian Reich' 'Yi Zhou'
43,31866433,Adapting electronic health records-derived phenotypes to claims data: Lessons learned in using limited clinical data for phenotyping.,'Anna Ostropolets' 'Christian Reich' 'Patrick Ryan' 'Ning Shang' 'George Hripcsak' 'Chunhua Weng'
44,31797639,Robust-ODAL: Learning from heterogeneous health systems without sharing patient-level data.,'Jiayi Tong' 'Rui Duan' 'Ruowang Li' 'Martijn J Scheuemie' 'Jason H Moore' 'Yong Chen'
45,31596493,Feasibility of Using Real-World Data to Replicate Clinical Trial Evidence.,'Victoria L Bartlett' 'Sanket S Dhruva' 'Nilay D Shah' 'Patrick Ryan' 'Joseph S Ross'
46,31445247,Automatic trial eligibility surveillance based on unstructured clinical data.,'Stephane M Meystre' 'Paul M Heider' 'Youngjun Kim' 'Daniel B Aruch' 'Carolyn D Britten'
47,31438365,Standardized Observational Cancer Research Using the OMOP CDM Oncology Module.,'Rimma Belenkaya' 'Michael Gurley' 'Dmitry Dymshyts' 'Sonia Araujo' 'Andrew Williams' 'RuiJun Chen' 'Christian Reich'
48,31438202,Augmenting Medical Device Evaluation Using a Reusable Unique Device Identifier Interoperability Solution Based on the OHDSI Common Data Model.,'Guoqian Jiang' 'Yue Yu' 'Paul R Kingsbury' 'Nilay Shah'
49,31437920,Transforming Two Decades of ePR Data to OMOP CDM for Clinical Research.,'Daniel M Lima' 'Jose F Rodrigues-Jr' 'Agma J M Traina' 'Fabio A Pires' 'Marco A Gutierrez'
50,31386904,Supplementing claims data analysis using self-reported data to develop a probabilistic phenotype model for current smoking status.,'Jenna M Reps' 'Peter R Rijnbeek' 'Patrick B Ryan'
51,31369862,PheValuator: Development and evaluation of a phenotype algorithm evaluator.,'Joel N Swerdel' 'George Hripcsak' 'Patrick B Ryan'
52,31325501,Facilitating phenotype transfer using a common data model.,'George Hripcsak' 'Ning Shang' 'Peggy L Peissig' 'Luke V Rasmussen' 'Cong Liu' 'Barbara Benoit' 'Robert J Carroll' 'David S Carrell' 'Joshua C Denny' 'Ozan Dikilitas' 'Vivian S Gainer' 'Kayla Marie Howell' 'Jeffrey G Klann' 'Iftikhar J Kullo' 'Todd Lingren' 'Frank D Mentch' 'Shawn N Murphy' 'Karthik Natarajan' 'Jennifer A Pacheco' 'Wei-Qi Wei' 'Ken Wiley' 'Chunhua Weng'
53,31307128,Fully connecting the Observational Health Data Science and Informatics (OHDSI) initiative with the world of linked open data.,'Juan M Banda'
54,31238109,HemOnc: A new standard vocabulary for chemotherapy regimen representation in the OMOP common data model.,'Jeremy L Warner' 'Dmitry Dymshyts' 'Christian G Reich' 'Michael J Gurley' 'Harry Hochheiser' 'Zachary H Moldwin' 'Rimma Belenkaya' 'Andrew E Williams' 'Peter C Yang'
55,31065558,A Data Element-Function Conceptual Model for Data Quality Checks.,'James R Rogers' 'Tiffany J Callahan' 'Tian Kang' 'Alan Bauck' 'Ritu Khare' 'Jeffrey S Brown' 'Michael G Kahn' 'Chunhua Weng'
56,31054141,Identifying the DEAD: Development and Validation of a Patient-Level Model to Predict Death Status in Population-Level Claims Data.,'Jenna M Reps' 'Peter R Rijnbeek' 'Patrick B Ryan'
57,30937326,Learning to Share Health Care Data: A Brief Timeline of Influential Common Data Models and Distributed Health Data Networks in U.S. Health Care Research.,'John Weeks' 'Roy Pardee'
58,30815195,Identifying Cases of Metastatic Prostate Cancer Using Machine Learning on Electronic Health Records.,'Martin G Seneviratne' 'Juan M Banda' 'James D Brooks' 'Nigam H Shah' 'Tina M Hernandez-Boussard'
59,30738946,ADEpedia-on-OHDSI: A next generation pharmacovigilance signal detection platform using the OHDSI common data model.,'Yue Yu' 'Kathryn J Ruddy' 'Na Hong' 'Shintaro Tsuji' 'Andrew Wen' 'Nilay D Shah' 'Guoqian Jiang'
